global_index,episode_id,frame_id,timestamp,cluster_id,action_score,selected,is_anchor,is_neighbor
0,0,0,0.0,3,0.0,True,False,True
1,0,1,0.019999999552965164,3,0.017081676,True,True,False
2,0,2,0.03999999910593033,3,0.0063247816,True,False,True
3,0,3,0.05999999865889549,3,0.0048508304,False,False,False
4,0,4,0.07999999821186066,3,0.004058519,False,False,False
5,0,5,0.10000000149011612,3,0.0015339851,False,False,False
6,0,6,0.11999999731779099,3,0.0026569376,False,False,False
7,0,7,0.14000000059604645,3,0.0015339851,False,False,False
8,0,8,0.1599999964237213,3,0.003067966,False,False,False
9,0,9,0.18000000715255737,3,0.0034300683,False,False,False
10,0,10,0.20000000298023224,3,0.0015339851,False,False,False
11,0,11,0.2199999988079071,3,0.0026569376,False,False,False
12,0,12,0.23999999463558197,3,0.0015339851,False,False,False
13,0,13,0.25999999046325684,3,0.003757479,False,False,False
14,0,14,0.2800000011920929,3,0.0021693795,False,False,False
15,0,15,0.30000001192092896,3,0.004338741,False,False,False
16,0,16,0.3199999928474426,3,0.003067968,False,False,False
17,0,17,0.3400000035762787,3,0.005087653,False,False,False
18,0,18,0.36000001430511475,3,0.003430095,False,False,False
19,0,19,0.3799999952316284,3,0.0046019354,False,False,False
20,0,20,0.4000000059604645,3,0.0059410976,False,False,False
21,0,21,0.41999998688697815,3,0.004338723,False,False,False
22,0,22,0.4399999976158142,3,0.0057396297,True,False,True
23,0,23,0.46000000834465027,3,0.0066864854,True,True,False
24,0,24,0.47999998927116394,3,0.005739647,True,False,True
25,0,25,0.5,3,0.0055308454,False,False,False
26,0,26,0.5199999809265137,3,0.005087598,False,False,False
27,0,27,0.5400000214576721,5,0.0059410976,False,False,False
28,0,28,0.5600000023841858,5,0.0037574808,False,False,False
29,0,29,0.5799999833106995,5,0.0048508868,False,False,False
30,0,30,0.6000000238418579,5,0.003757479,False,False,False
31,0,31,0.6200000047683716,5,0.005739582,False,False,False
32,0,32,0.6399999856948853,5,0.0046019554,False,False,False
33,0,33,0.6600000262260437,5,0.0046019554,False,False,False
34,0,34,0.6800000071525574,5,0.003757479,False,False,False
35,0,35,0.699999988079071,5,0.00405853,False,False,False
36,0,36,0.7200000286102295,5,0.0021693825,False,False,False
37,0,37,0.7400000095367432,5,0.0021693795,False,False,False
38,0,38,0.7599999904632568,5,0.0037574791,False,False,False
39,0,39,0.7799999713897705,5,0.0021693404,False,False,False
40,0,40,0.800000011920929,5,0.0021693795,False,False,False
41,0,41,0.8199999928474426,5,0.0021693795,False,False,False
42,0,42,0.8399999737739563,5,0.0021693795,False,False,False
43,0,43,0.8600000143051147,5,0.0021693795,False,False,False
44,0,44,0.8799999952316284,5,0.0,False,False,False
45,0,45,0.8999999761581421,5,0.0015339851,False,False,False
46,0,46,0.9200000166893005,5,0.0015339851,False,False,False
47,0,47,0.9399999976158142,5,0.0,False,False,False
48,0,48,0.9599999785423279,5,0.0021693795,False,False,False
49,0,49,0.9800000190734863,5,0.0015339851,False,False,False
50,0,50,1.0,5,0.001533981,False,False,False
51,0,51,1.0199999809265137,5,0.0026569378,False,False,False
52,0,52,1.0399999618530273,6,0.001533981,False,False,False
53,0,53,1.059999942779541,6,0.0015339851,False,False,False
54,0,54,1.0800000429153442,6,0.0021693825,False,False,False
55,0,55,1.100000023841858,6,0.0021693795,False,False,False
56,0,56,1.1200000047683716,6,0.0021693795,False,False,False
57,0,57,1.1399999856948853,6,0.003430095,False,False,False
58,0,58,1.159999966621399,6,0.0,False,False,False
59,0,59,1.1799999475479126,6,0.0026569376,False,False,False
60,0,60,1.2000000476837158,6,0.0015339851,False,False,False
61,0,61,1.2200000286102295,6,0.0037574735,False,False,False
62,0,62,1.2400000095367432,6,0.0,False,False,False
63,0,63,1.2599999904632568,6,0.003757474,False,False,False
64,0,64,1.2799999713897705,6,0.0026569376,False,False,False
65,0,65,1.2999999523162842,6,0.00216938,False,False,False
66,0,66,1.3200000524520874,6,0.002169377,False,False,False
67,0,67,1.340000033378601,6,0.0015339796,False,False,False
68,0,68,1.3600000143051147,6,0.0026569357,False,False,False
69,0,69,1.3799999952316284,2,0.0021693825,False,False,False
70,0,70,1.399999976158142,2,0.0015339808,False,False,False
71,0,71,1.4199999570846558,6,0.0021693795,False,False,False
72,0,72,1.440000057220459,2,0.0015339851,False,False,False
73,0,73,1.4600000381469727,2,0.0021693795,False,False,False
74,0,74,1.4800000190734863,2,0.0021693795,False,False,False
75,0,75,1.5,2,0.0,False,False,False
76,0,76,1.5199999809265137,6,0.0,False,False,False
77,0,77,1.5399999618530273,6,0.0015339851,False,False,False
78,0,78,1.559999942779541,6,0.0015339851,False,False,False
79,0,79,1.5800000429153442,6,0.0,False,False,False
80,0,80,1.600000023841858,6,0.0,False,False,False
81,0,81,1.6200000047683716,2,0.0,False,False,False
82,0,82,1.6399999856948853,6,0.0015339851,False,False,False
83,0,83,1.659999966621399,6,0.0015339851,False,False,False
84,0,84,1.6799999475479126,6,0.0,False,False,False
85,0,85,1.7000000476837158,6,0.0,False,False,False
86,0,86,1.7200000286102295,6,0.0,False,False,False
87,0,87,1.7400000095367432,6,0.0,False,False,False
88,0,88,1.7599999904632568,6,0.0015338659,False,False,False
89,0,89,1.7799999713897705,6,0.0,False,False,False
90,0,90,1.7999999523162842,6,0.0,False,False,False
91,0,91,1.8200000524520874,6,0.0,False,False,False
92,0,92,1.840000033378601,6,0.0,False,False,False
93,0,93,1.8600000143051147,6,0.0015339807,False,False,False
94,0,94,1.8799999952316284,2,0.0,False,False,False
95,0,95,1.899999976158142,6,0.0,False,False,False
96,0,96,1.9199999570846558,6,0.0,False,False,False
97,0,97,1.940000057220459,2,0.0,False,False,False
98,0,98,1.9600000381469727,2,0.0021693795,False,False,False
